0.0 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.05390192 -0.056591593 -0.053441375 -0.036521852 -0.056225896 0.011878282
0.001 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.06872895 -0.065694466 -0.062576234 -0.059645418 -0.033167303 -0.093807995
0.002 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.069869466 -0.06874499 -0.06629279 -0.07286429 -0.07700515 -0.10094318
0.003 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.069309145 -0.06980865 -0.06804668 -0.077198915 -0.07489616 -0.08584723
0.004 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.067695685 -0.06946473 -0.06844489 -0.07660251 -0.07805824 -0.08030406
0.005 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.06620775 -0.068604775 -0.06821755 -0.07433626 -0.078389585 -0.07916844
0.006 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.06487065 -0.06756812 -0.06770605 -0.071674265 -0.07879275 -0.07976103
0.007 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.06369055 -0.06655976 -0.06712336 -0.06916312 -0.07819319 -0.080094784
0.008 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.062682346 -0.06564094 -0.066549696 -0.06695562 -0.077168584 -0.0798803
0.009 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.061865203 -0.064831585 -0.06601837 -0.06507643 -0.07583988 -0.07917157
0.01 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.061247006 -0.06412855 -0.06553795 -0.06349976 -0.07444978 -0.07818243
0.011 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.060824364 -0.06352277 -0.06510835 -0.062188476 -0.07312137 -0.077091664
0.012 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.06058517 -0.06300299 -0.0647258 -0.06110479 -0.07194412 -0.076033026
0.013 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.060511835 -0.06255828 -0.06438557 -0.06021458 -0.070960045 -0.07508877
0.014 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.06058374 -0.062178638 -0.064082846 -0.059488103 -0.070185184 -0.074302524
0.015 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.060779266 -0.061855216 -0.06381322 -0.05889982 -0.06961572 -0.07368997
0.016 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.061077185 -0.061580237 -0.063572735 -0.058427878 -0.069235206 -0.07324818
0.017 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.06145727 -0.061346956 -0.06335792 -0.05805356 -0.06902176 -0.07296261
0.018 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.061900802 -0.061149493 -0.06316567 -0.05776091 -0.068948925 -0.072811395
0.019 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 -0.062390797 -0.06098275 -0.06299344 -0.057536244 -0.06898934 -0.07276997
